DATE,IGREA
2010-07-01,-34.7652013333333333
2010-10-01,-0.1341223333333333
2011-01-01,-55.1208654666666667
2011-04-01,1.1170158000000000
2011-07-01,9.5826536666666667
2011-10-01,23.8086440000000000
2012-01-01,-80.9803383333333334
2012-04-01,17.5749650000000000
2012-07-01,-20.5228526666666666
2012-10-01,12.6667246666666666
2013-01-01,-16.8010743333333333
2013-04-01,11.6246296666666667
2013-07-01,35.8482471000000000
2013-10-01,37.9894235666666666
2014-01-01,-31.5426310333333333
2014-04-01,-32.3427853000000000
2014-07-01,-3.7897860000000000
2014-10-01,16.2890706666666667
2015-01-01,-58.1345956666666667
2015-04-01,2.8598236666666667
2015-07-01,44.1160843333333333
2015-10-01,-44.4521830000000000
2016-01-01,-54.8648266666666667
2016-04-01,53.5977306666666667
